95156,163988,223246,246123,235873,259699,267331,281896,275303,287908,287098,293030,283040,300527,297485,295740
169937,241098,313096,301195,294534,295631,291054,295777,252996,258342,257777,260433,259051,268602,259041,265715
221248,286993,281526,296187,284607,281266,273681,279650,231238,254372,234552,238882,230664,239176,234622,234198
261582,310075,282386,298057,281926,268258,268115,272984,212736,236094,213119,218726,211632,215450,207413,211351
282787,300301,285478,289347,282959,258295,256779,256045,198116,218590,196507,196977,194873,195821,192807,192852
283623,289124,273399,285582,271118,255502,252663,251756,183600,211365,194409,184788,180205,180409,176766,175344
269338,290851,287408,284467,270256,245528,239951,236100,172663,196658,173093,171608,166420,166903,162903,162611
284539,295859,282031,284074,257162,235496,229393,234150,164206,180715,159413,160243,155207,155671,149043,152833
273613,281874,278669,273432,256934,227567,225857,225138,156450,168230,150274,149839,143936,168690,154402,147549
262368,281398,275625,268498,249803,216427,218539,217068,144672,160009,143152,139530,138330,141174,137970,156129
